status_id,language,sentiment,text
61862637289472000,de,positive,keep following me 
62291968633479168,de,positive,@EiF0hn Versuchs nachzumacehn Und Die Ganze zeit Zu Hören  ich glaube Dabei Drehst du voll Durch Gnihihihihi
50466371582177280,de,positive,"@NiciRawr na dann las dir mal ein gesprächsthema einfallen 
bin zu doof um mir was einfallen zulassen um die uhrzeit ;D"
48961779363090432,de,positive,Watching #TheRunaways wohoo 
57096505827401729,de,positive,@AnKa1207 ja okay wir lieben jay AND skittles  xx
61382228084654080,de,positive,Winnie The Pooh nice movie   ....
62233283001458688,de,positive,@1Mandy_xoxo nich dein ernst? Hab ich auf DVD *hust*  ♥
57926274370375681,de,positive,@beliebinbieber2 Thanks 
62389220936912896,de,positive,@BIEBER_natics follow back 
61632615609942016,de,positive,@jejetolcher foolback ya 
50065492249022464,de,positive,"@nurulnrygrl follback ya, chingu.. "
50851767478530048,de,positive,@sonnenhexer Hol dir noch das Sportscheck (10%) Item... das geht auch alleine 
60200637295624193,de,positive,@BieberDarlin616 great chapter 
60492479073488896,de,positive,@_laamartiins huahsuashaushaush 
58785112552251392,de,positive,@RyanBitch much better 
60819469420863488,de,positive,mache grade mein #berlin - #sushi - #date klar  *freu*
59038061245382656,de,positive,@cevdetaykan )) geldim de halen acemiyim çözmeye çalışıyorum 
58569937425412096,de,positive,@Liiice96 'tschuldigung  &lt;3
60256982254354432,de,positive,@iAmKidrauhl BIEBEEEEEEEEEEEEEER 
56710304872140800,de,positive,@digggah Sozusagen  und dann noch traumhaftes Wetter gehabt.
56452019141083136,de,positive,"@miss_meanie Wir spielen mit dem Feuer, wenn du jmdm., der offensichtlich ein Auto besitzt, nach MZ-town einlädst  @Jemus42"
60844969170182144,de,positive,"@HenriiqueMuniz sim ! deu pra ver você lá atrás, hauishaushiau "
61622363221012480,de,positive,@TheJBieberFans 
62197540644331522,de,positive,@BlackAngelBuffy bin doch spätestens Freitag wieder zuhause  hab doch urlaub xD
62532460054970368,de,positive,"Ihhh bnr&quot; ganteng ya nie org,,, "
58920462717165568,de,positive,"@SILLAofficial was geht Silla? Ey ich zock die Tage ma irgendwo ein Handy und dann Sillaphone ich dich ma. Reden ich, zahlen ? "
62384075561902080,de,positive,@BarbiiehNanax3 Gratz 
56530103420715008,de,positive,@BieberHeaven01 Followed basck hun 
62675472009543680,de,positive,@shayalb Smurfy is my nickname 
49280055574134784,de,positive,@iBIEBERWIFEY Thanx x 
62542653937565696,de,positive,@gilchrisparedes Music! 
60400452445020160,de,positive,@PranksterSwag @SarahJaneActres Following 
56357902952300545,de,positive,jetzt rohre eingraben.... keine lust aber schatzi hilft 
51433043960938496,de,positive,Malllll 
56853966214021120,de,positive,@KatVonDahmer night 
50326064655892480,de,positive,@AntIhOrscht jep 
62386769018105856,de,positive,"@fabianzeng very much, Fab! "
60541061382160384,de,positive,@GeMiniGurl90 thanks 
50169349025173504,de,positive,@IfhenHawari fokus 
49642421516111873,de,positive,"@rsouza_s Ich bin gut, und du? "
62016059498168322,de,positive,@wlwarriorsuzie Bieberlicious 
58427025454665728,de,positive,@AliAs_BM4G aber dafür ohne DJ DRAMA &quot;GAAAAANGSTAAAAA GRIIIIIIZIIIIILLL&quot; geshoute  
61446104872534017,de,positive,@xBritt_ish kom je vanavond? 
56457277401612288,de,positive,Zurück vom Leipziger Zoo... endlich hat sich das Semesterticket mal gelohnt 
62251146273767424,de,positive,@Al_Donn Anytime  &amp; me eitherrr!
59901693827104769,de,positive,"Korrekt, wie der Dozent hier von damals vom Krieg redet "
56957970109579264,de,positive,@itsfendulcexo 
59863264716275712,de,positive,@BeBieberchickaa @UltraSelenators plz click here http://www.witbjbf.com/?id=IzabellaaBieber 
62798329913946112,de,positive,galiba küstürdm  ))
61980259788136448,de,positive,@SMILE_im_Single 
49249564930224129,de,positive,Das neue Bild vom @iJol_ ist super gut 
57537995158458368,de,positive,@avatter was hast du getan? eine gruppentherapie für headhunter angeboten? 
59610487612129280,de,positive,Eso q te vieness??  @ivonneachji
56166222038966272,de,positive,@ichsanti weee 
62258794054418433,de,positive,@collegeblogtv ja hab ich auch schon gesehen. 
58549564969467904,de,positive,@lenampunkt waaas? wie kurz denn? 
58283845686005760,de,positive,@TheBoyliebers hi! 
59733140373123073,de,positive,@CROBieberGirl94 Yeah 
48709413799854080,de,positive,chau chau chau ! 
51338624448479232,de,positive,"@featDemiLovato XD ich bevorzuge sogar justin vor greene und die mag ich nich,allg. twilight hype..ekel "
61834577144057856,de,positive,@JayBieberBabex3 thank you so so much  &lt;3
57461377698250752,de,positive,@Twinmama77 axo  Sagt der Blinde vorm Fischladen: &quot;Hallo Mädels&quot;  #Witze
58332133902663680,de,positive,@BieberssBabeX follow back? 
60643310993281024,de,positive,@Fadenaffe http://lmgtfy.com/?q=Zerspanungsmechanik  Oder wie man auf Jappy sagen würde: XD XD
60420868173611009,de,positive,@justinbieber i smile 
59329251790434304,de,positive,@lebenszeichen__ Ich konnte nicht twittern ;/ limit. Aber jetzt bin ich da 
58805551311753216,de,positive,#Schinkenspeck zum #Frühstück  Da sind einem die Kalorien ausnahmsweise mal egal ...  http://t.co/9bSaMtB via @twitpic
11696925665398785,de,positive,@fennnoyy hehe sip sip 
50754566068764672,de,positive,Cottage cheese..  yum &lt;3
50785154985230336,de,positive,@ayahcbelieber @jbiebs_luva @katie_jedward_ followed  n thnxx
57463985632579585,de,positive,Nägel Pink lackiert. Man muss mir langweilig gewesen sein... 
50156540811935745,de,positive,@dieannuhhh  
49532674469150720,de,positive,@SLMFE Zeig 
11694443174305792,de,positive,Kocharena hat mega viel spaß gemacht. Das ergebnis seht ihr dann im neuen Jahr 
58271106779451392,de,positive,@buntewollsocke wie siehts denn aus mit PonyHütchen? 
11617827953836032,de,positive,@sunkissedjulie nem ri. 
